node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.5815969515092219
64, 45, 1, 0.9265055436845583
51, 1, 49, 1.2459475250398782
103, 64, 20, 1.2660460645870284
87, 45, 2, 1.2882098599164629
116, 64, 15, 1.5403936490107786
135, 64, 39, 1.656255248147291
168, 116, 15, 1.7313890509207086
207, 116, 43, 1.743098145842389
152, 103, 20, 1.7729204256133322
246, 207, 57, 1.9222254840586548
211, 207, 43, 2.0981762701026696
141, 64, 49, 2.112402922377006
184, 64, 25, 2.166202192291918
208, 103, 54, 2.2141949358595516
244, 168, 24, 2.5156410458138514
290, 207, 42, 2.6367741462736505
341, 211, 47, 2.8424123423483314
361, 341, 20, 2.924929041630322
388, 361, 57, 3.017043735681002
317, 211, 13, 3.5018419263523497
415, 341, 45, 3.604176171613142
398, 317, 13, 3.6280774753801994
535, 388, 40, 4.452974960952315
532, 388, 38, 4.546376414202349
507, 388, 21, 4.737658507866058
617, 535, 50, 4.914165463662618
554, 507, 5, 4.9384390409843775
620, 535, 44, 5.113970428130759
660, 617, 50, 5.373476930975162
637, 554, 13, 5.555826375938964
677, 637, 43, 5.970569226986278
