node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.31201043058561634
64, 45, 1, 0.33887131010850674
51, 1, 49, 0.708095686754936
87, 45, 2, 0.739548690386152
103, 64, 20, 1.0521482192096474
135, 64, 39, 1.2967338925847602
116, 64, 15, 1.430236754530161
207, 116, 43, 1.4916445764051782
152, 103, 20, 1.5382735323042487
168, 116, 15, 1.5800061040588242
208, 103, 54, 1.6037161444066033
141, 64, 49, 1.681750249951095
246, 207, 57, 1.691794481038829
184, 64, 25, 1.7751302088803198
211, 207, 43, 1.8047562997128848
290, 207, 42, 2.1507926275324767
244, 168, 24, 2.260372983920426
341, 211, 47, 2.545696556346862
361, 341, 20, 2.675511831804996
388, 361, 57, 2.782389470865949
317, 211, 13, 2.909012111137566
398, 317, 13, 2.992261338397214
415, 341, 45, 3.0277715911037872
535, 388, 40, 3.9766535834570806
507, 388, 21, 4.280671626655093
554, 507, 5, 4.390817045099513
532, 388, 38, 4.39382137826054
620, 535, 44, 4.863249609611467
637, 554, 13, 4.982931038700517
617, 535, 50, 5.268064976729939
695, 637, 2, 5.666595115917932
660, 617, 50, 5.6846203463940315
677, 637, 43, 5.694430975792748
661, 637, 36, 5.8440258410828285
