node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.3377010338546652
64, 45, 1, 0.4070743025231646
51, 1, 49, 0.7300537152175062
87, 45, 2, 1.03096991559105
103, 64, 20, 1.1152444771662884
116, 64, 15, 1.2295809818466914
168, 116, 15, 1.3100633481281618
135, 64, 39, 1.3143378709863909
207, 116, 43, 1.4655469976112805
152, 103, 20, 1.6471257244047661
141, 64, 49, 1.7202540939537838
211, 207, 43, 1.8314985501064234
184, 64, 25, 1.8407120799987635
208, 103, 54, 1.8472144589734774
246, 207, 57, 2.013194943047726
244, 168, 24, 2.0404642380718956
290, 207, 42, 2.176447951654294
341, 211, 47, 2.3632577026908206
317, 211, 13, 2.7323506610241295
361, 341, 20, 2.7768809342857486
398, 317, 13, 2.86726131242725
388, 361, 57, 3.0560988225365646
415, 341, 45, 3.284643940689991
535, 388, 40, 3.7879347748147736
532, 388, 38, 4.128630326131606
507, 388, 21, 4.192119318205348
554, 507, 5, 4.477019272922464
637, 554, 13, 4.920261392648175
620, 535, 44, 5.117523947576727
617, 535, 50, 5.524564189297265
661, 637, 36, 5.604263340755489
677, 637, 43, 5.698105329287915
660, 617, 50, 5.938567935841952
695, 637, 2, 6.017514824984026
