node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.4272797685624739
64, 45, 1, 0.8501619342849626
51, 1, 49, 0.8794377712130103
116, 64, 15, 1.1530215822172925
87, 45, 2, 1.184344262283119
168, 116, 15, 1.3649683255453988
103, 64, 20, 1.5670583261997857
207, 116, 43, 1.6114321927172832
141, 64, 49, 1.754655352417209
135, 64, 39, 1.851273509724943
211, 207, 43, 1.9307354465213844
152, 103, 20, 2.0350516994141215
184, 64, 25, 2.036283546229619
208, 103, 54, 2.2105706611854603
246, 207, 57, 2.264939144288569
244, 168, 24, 2.28093546532248
341, 211, 47, 2.5012166856061566
290, 207, 42, 2.618614418651201
361, 341, 20, 3.165320070500719
317, 211, 13, 3.2325534602574275
398, 317, 13, 3.2945163459246425
415, 341, 45, 3.344364281885699
388, 361, 57, 3.3905206846007445
535, 388, 40, 4.364778075725165
507, 388, 21, 4.392156345132671
532, 388, 38, 4.394332919650431
554, 507, 5, 4.70094373018052
617, 535, 50, 5.260635370775602
637, 554, 13, 5.335336615684418
620, 535, 44, 5.473881215220722
660, 617, 50, 5.724997062300045
677, 637, 43, 5.829193785617145
695, 637, 2, 6.116323698182329
