node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.3066238071475712
64, 45, 1, 0.33217237239483144
51, 1, 49, 0.9129940374020198
87, 45, 2, 1.0452362951215979
103, 64, 20, 1.192035051999894
116, 64, 15, 1.4404089816756303
207, 116, 43, 1.5033476442864997
135, 64, 39, 1.523675680978358
168, 116, 15, 1.5679343077616588
152, 103, 20, 1.697296529121849
211, 207, 43, 1.8081198723265233
141, 64, 49, 1.8212882914559771
184, 64, 25, 1.868422923613903
208, 103, 54, 1.9908961743594658
246, 207, 57, 2.125688640580797
290, 207, 42, 2.1717445644868274
244, 168, 24, 2.272459048082298
317, 211, 13, 2.5879458731400424
341, 211, 47, 2.5921994916020314
398, 317, 13, 2.6780779645751056
361, 341, 20, 2.8200952171961027
388, 361, 57, 3.1685909431925494
415, 341, 45, 3.221698152032821
535, 388, 40, 3.7559737002822207
532, 388, 38, 4.297005606713628
507, 388, 21, 4.443182245298283
554, 507, 5, 4.604699223662925
637, 554, 13, 4.744688588446256
620, 535, 44, 5.282266067939689
617, 535, 50, 5.657894578704578
677, 637, 43, 5.67816706874188
661, 637, 36, 5.834661584900993
695, 637, 2, 5.994865021771043
660, 617, 50, 6.067662497630657
