node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.3034810941165941
64, 45, 1, 0.7612703067299194
51, 1, 49, 0.7675370726645294
87, 45, 2, 1.0143314193270523
116, 64, 15, 1.2508465637461363
103, 64, 20, 1.2574293754824126
184, 64, 25, 1.364245379455954
168, 116, 15, 1.491158830064813
207, 116, 43, 1.493473463801607
135, 64, 39, 1.554452978836729
141, 64, 49, 1.6924168635182708
152, 103, 20, 1.768245998866269
211, 207, 43, 1.8823867436313173
244, 168, 24, 1.9430005754101398
208, 103, 54, 1.9655945040955727
246, 207, 57, 2.140043078028091
290, 207, 42, 2.2270420968774665
341, 211, 47, 2.619360771388961
361, 341, 20, 2.8979000780103186
415, 341, 45, 3.043064682407286
388, 361, 57, 3.179478240179674
317, 211, 13, 3.1896021775821635
398, 317, 13, 3.3681331827496708
507, 388, 21, 3.8843656945706018
532, 388, 38, 4.072227885651582
535, 388, 40, 4.2103882977875715
554, 507, 5, 4.251931108853738
620, 535, 44, 5.281765515420832
637, 554, 13, 5.388230280480486
617, 535, 50, 5.641057998999044
677, 637, 43, 5.69974402806629
695, 637, 2, 5.814327395591461
661, 637, 36, 6.079587172912348
