node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.3798725701781872
64, 45, 1, 0.3957513335102433
51, 1, 49, 0.7569599722070663
103, 64, 20, 0.960432154684835
87, 45, 2, 1.051093910904466
116, 64, 15, 1.311226394164531
135, 64, 39, 1.393791635798146
168, 116, 15, 1.400083532268308
207, 116, 43, 1.5057856506615876
152, 103, 20, 1.5111095824953773
141, 64, 49, 1.6019133676877109
208, 103, 54, 1.673798491446374
184, 64, 25, 1.7858203346968777
211, 207, 43, 1.8241273968584724
246, 207, 57, 2.0327474502308958
244, 168, 24, 2.130347361126624
290, 207, 42, 2.1821999708194837
341, 211, 47, 2.201891278535269
361, 341, 20, 2.6281964717215875
317, 211, 13, 2.834933475260014
398, 317, 13, 2.948379268194519
388, 361, 57, 3.0854843332538833
415, 341, 45, 3.13981508988938
535, 388, 40, 3.6398308183611334
532, 388, 38, 4.269823929737833
507, 388, 21, 4.282273731433974
554, 507, 5, 4.556072297504523
637, 554, 13, 5.036951465182948
620, 535, 44, 5.202311829816068
617, 535, 50, 5.593599403242933
661, 637, 36, 5.687124840903965
677, 637, 43, 5.6899612440449925
695, 637, 2, 5.872618035611113
660, 617, 50, 6.029291240913841
