node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.5440077517901053
64, 45, 1, 0.5897275491161031
51, 1, 49, 0.9493479696783533
87, 45, 2, 1.134923894787127
103, 64, 20, 1.402253459685901
135, 64, 39, 1.4091136412920449
116, 64, 15, 1.456998477726249
168, 116, 15, 1.544352676244702
207, 116, 43, 1.6790265044669361
208, 103, 54, 1.8371581592687287
141, 64, 49, 1.9062569251741392
152, 103, 20, 1.9138395352619373
211, 207, 43, 2.0476839638419646
184, 64, 25, 2.0642327079596643
246, 207, 57, 2.1789439186329957
290, 207, 42, 2.2916117504251456
244, 168, 24, 2.2970767775886833
341, 211, 47, 2.71496590901459
361, 341, 20, 3.100515297290624
317, 211, 13, 3.1085256666268095
398, 317, 13, 3.229387348013792
388, 361, 57, 3.2328575170737976
415, 341, 45, 3.288754822894392
535, 388, 40, 4.163003528523544
532, 388, 38, 4.331452489720877
507, 388, 21, 4.359890382770519
554, 507, 5, 4.539849626502235
620, 535, 44, 5.104670446029496
637, 554, 13, 5.218940698832524
617, 535, 50, 5.728856959912575
677, 637, 43, 5.931530725935985
695, 637, 2, 6.0106525445419
661, 637, 36, 6.026324439631491
