node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.19367850228392203
64, 45, 1, 0.5405719061874861
51, 1, 49, 0.6657888590725951
116, 64, 15, 0.9913891443898922
87, 45, 2, 1.0592365722090342
168, 116, 15, 1.1185809832294307
103, 64, 20, 1.2854696986762715
207, 116, 43, 1.4128496087760696
135, 64, 39, 1.4580821555686871
141, 64, 49, 1.6640688464835094
184, 64, 25, 1.6891557274887337
211, 207, 43, 1.706691798114078
152, 103, 20, 1.7754577366072184
244, 168, 24, 1.8584266072544189
208, 103, 54, 1.9900491879511055
246, 207, 57, 2.1357722308392346
341, 211, 47, 2.291805694297179
290, 207, 42, 2.30931652327152
317, 211, 13, 2.886122587307652
361, 341, 20, 2.9076793684208395
398, 317, 13, 3.026991417004975
415, 341, 45, 3.1192085089505306
388, 361, 57, 3.199330037997055
535, 388, 40, 3.9580233353319545
532, 388, 38, 3.9704897116285705
507, 388, 21, 3.9815779989498177
554, 507, 5, 4.294574405341083
637, 554, 13, 5.0559717357008696
620, 535, 44, 5.261527339431878
617, 535, 50, 5.490591988420042
677, 637, 43, 5.731828934240777
661, 637, 36, 5.83041460270593
695, 637, 2, 5.8942932219339355
660, 617, 50, 5.981997856831023
