node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.4870438447846508
64, 45, 1, 0.7955130706359765
51, 1, 49, 0.9359308351259098
87, 45, 2, 1.1954634973350813
116, 64, 15, 1.4145955797558019
103, 64, 20, 1.4836530242899801
168, 116, 15, 1.5610387580738931
135, 64, 39, 1.6399003583529133
207, 116, 43, 1.6441393987477393
184, 64, 25, 1.8543588652172793
141, 64, 49, 1.878002003419486
152, 103, 20, 2.008570219162709
244, 168, 24, 2.0452188726879696
208, 103, 54, 2.11533439924028
211, 207, 43, 2.1280493906287106
246, 207, 57, 2.1959322267192647
290, 207, 42, 2.4314586262771636
341, 211, 47, 2.457806968149143
317, 211, 13, 3.0881434527305935
361, 341, 20, 3.163636048770159
398, 317, 13, 3.2242884583780067
388, 361, 57, 3.3572821786813694
415, 341, 45, 3.357444015184428
535, 388, 40, 4.142151227158812
532, 388, 38, 4.215459001976871
507, 388, 21, 4.220719536126418
554, 507, 5, 4.540116718282452
620, 535, 44, 5.2295598097111355
637, 554, 13, 5.2802336299659975
617, 535, 50, 5.777625842987611
677, 637, 43, 5.9101059309228425
661, 637, 36, 5.961129118796078
695, 637, 2, 6.116801026541983
