node, prevNode, creator, time
1, 0, 0, 0
64, 45, 1, 0.7255762121523286
45, 1, 43, 0.7548245589009559
51, 1, 49, 1.2566463187007635
103, 64, 20, 1.3692238191044033
87, 45, 2, 1.515716235252499
184, 64, 25, 1.691089933730384
135, 64, 39, 1.8155680245254442
116, 64, 15, 1.842078551363095
168, 116, 15, 1.866466155048549
152, 103, 20, 1.8854366865469765
207, 116, 43, 1.8859350275081592
141, 64, 49, 2.0783440053032822
208, 103, 54, 2.13815222174732
211, 207, 43, 2.2270603398460715
246, 207, 57, 2.3825419506954484
244, 168, 24, 2.6062090251034835
290, 207, 42, 2.609947724974375
341, 211, 47, 2.7316361783652905
361, 341, 20, 3.0017313510133636
317, 211, 13, 3.062117111287766
398, 317, 13, 3.149154563456758
388, 361, 57, 3.4772413970455287
535, 388, 40, 3.511894217384567
415, 341, 45, 3.604920969070668
532, 388, 38, 4.73393836030141
507, 388, 21, 4.7500704838890915
554, 507, 5, 5.027315297712736
637, 554, 13, 5.223062582293626
620, 535, 44, 5.629829907890188
617, 535, 50, 5.976742935283887
677, 637, 43, 6.0772494853142565
