node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.076678846996143
64, 45, 1, 0.08657737270893798
51, 1, 49, 0.6245907102610864
87, 45, 2, 0.8771155034872334
103, 64, 20, 0.915090824112081
135, 64, 39, 1.1991753866981434
207, 116, 43, 1.2086002872842807
116, 64, 15, 1.2111645454280766
168, 116, 15, 1.4025607757427996
152, 103, 20, 1.459119693849677
211, 207, 43, 1.5664412263626037
141, 64, 49, 1.578583101305753
184, 64, 25, 1.640530056535718
208, 103, 54, 1.7460649529562609
246, 207, 57, 1.899525637643871
290, 207, 42, 1.9322694180457594
244, 168, 24, 2.1768902608146976
341, 211, 47, 2.3980304246468465
361, 341, 20, 2.5844307311629775
317, 211, 13, 2.6287186158615143
398, 317, 13, 2.7525065342908666
388, 361, 57, 2.9280207419640347
415, 341, 45, 3.1627801791089434
535, 388, 40, 3.70031608041884
507, 388, 21, 4.243302992716219
532, 388, 38, 4.3096437682065085
554, 507, 5, 4.374654579672605
637, 554, 13, 4.768230039812885
620, 535, 44, 5.000028903209
617, 535, 50, 5.401664264771603
677, 637, 43, 5.448851298648783
661, 637, 36, 5.750716071363721
660, 617, 50, 5.826255034171978
695, 637, 2, 5.895784524828322
