node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.7460169131068819
64, 45, 1, 0.8483837778788672
51, 1, 49, 1.2139695680332414
87, 45, 2, 1.386249826965205
116, 64, 15, 1.6893241094109976
103, 64, 20, 1.710917819035336
135, 64, 39, 1.7844939847276813
168, 116, 15, 1.914952774350038
207, 116, 43, 1.9560378507692955
184, 64, 25, 2.0282136322493973
141, 64, 49, 2.183485346097421
152, 103, 20, 2.1883898794388603
208, 103, 54, 2.237307056281283
211, 207, 43, 2.307324203880955
244, 168, 24, 2.389850203836377
246, 207, 57, 2.5376585195744124
290, 207, 42, 2.6794599690556504
341, 211, 47, 3.007059170298808
317, 211, 13, 3.0728000784571616
398, 317, 13, 3.216084713718426
415, 341, 45, 3.2466160518829286
361, 341, 20, 3.3216981310785956
388, 361, 57, 3.6219187223223943
535, 388, 40, 4.240701029086102
532, 388, 38, 4.280659533181511
507, 388, 21, 4.341223544052881
554, 507, 5, 4.6840496510023515
637, 554, 13, 5.226570419488641
620, 535, 44, 5.715043443427589
617, 535, 50, 6.071753867319156
