node, prevNode, creator, time
1, 0, 0, 0
64, 45, 1, 0.4794178075068636
45, 1, 43, 0.5085446964343706
103, 64, 20, 0.9183049800602372
51, 1, 49, 1.0257141438685293
135, 64, 39, 1.158847696918465
87, 45, 2, 1.274837124405006
152, 103, 20, 1.4261842220454426
116, 64, 15, 1.5772896761324289
207, 116, 43, 1.6343927544785384
168, 116, 15, 1.7824684282209504
211, 207, 43, 1.9497415927965078
246, 207, 57, 1.9683773426489388
184, 64, 25, 2.0281214961952165
141, 64, 49, 2.0308740687740565
208, 103, 54, 2.0773038733794804
244, 168, 24, 2.117385422525233
290, 207, 42, 2.307088745338915
341, 211, 47, 2.4748485262055544
361, 341, 20, 2.6270037609937837
317, 211, 13, 3.027787918381551
388, 361, 57, 3.046061384168935
398, 317, 13, 3.153085931087114
415, 341, 45, 3.4979605799759907
535, 388, 40, 3.926777198592616
532, 388, 38, 4.29162698500188
507, 388, 21, 4.409252514219338
554, 507, 5, 4.73458201452409
637, 554, 13, 5.142195380471042
620, 535, 44, 5.37485612158588
617, 535, 50, 5.537407290825973
677, 637, 43, 5.886800609074959
660, 617, 50, 5.957043732904091
661, 637, 36, 6.1091565845586
