node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.01380631561759607
64, 45, 1, 0.44176472042302406
87, 45, 2, 0.9789538067092358
51, 1, 49, 0.9815561808016458
116, 64, 15, 1.157529441894369
207, 116, 43, 1.1760907428061755
103, 64, 20, 1.2560252774884006
168, 116, 15, 1.353227419813674
211, 207, 43, 1.535372340986756
135, 64, 39, 1.5579223648393548
184, 64, 25, 1.6084876099221175
152, 103, 20, 1.7848190882872659
246, 207, 57, 1.9284552386559508
141, 64, 49, 1.9703366463105754
208, 103, 54, 2.1101920441462014
244, 168, 24, 2.2443968630543485
290, 207, 42, 2.2898898060012973
341, 211, 47, 2.5155918471811463
361, 341, 20, 2.9326098436628456
317, 211, 13, 3.000752880832371
388, 361, 57, 3.0295551937281116
398, 317, 13, 3.177705827032189
415, 341, 45, 3.2187039759381584
535, 388, 40, 4.094741774006817
507, 388, 21, 4.215579780722316
554, 507, 5, 4.345349685183887
532, 388, 38, 4.357296717575091
637, 554, 13, 5.136150415909382
620, 535, 44, 5.228540173734819
677, 637, 43, 5.419929967646597
617, 535, 50, 5.499034944165682
695, 637, 2, 5.8764860296272685
660, 617, 50, 5.925002315500197
661, 637, 36, 6.111606874428657
