node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.20824403412595738
64, 45, 1, 0.42194134351695245
51, 1, 49, 0.7061662729807027
116, 64, 15, 1.0464087218446871
87, 45, 2, 1.0513390806816147
103, 64, 20, 1.151272820795193
168, 116, 15, 1.172536733636817
135, 64, 39, 1.3407913183248747
207, 116, 43, 1.4319236365999166
152, 103, 20, 1.6590845798067047
141, 64, 49, 1.6808455717411444
184, 64, 25, 1.7046684366663085
211, 207, 43, 1.755908042513372
208, 103, 54, 1.8635017000830023
244, 168, 24, 1.893140933581423
246, 207, 57, 2.0267630822988174
290, 207, 42, 2.1898721489430213
341, 211, 47, 2.3526064615385303
317, 211, 13, 2.755564214368569
361, 341, 20, 2.789527991126146
398, 317, 13, 2.9089038206759588
388, 361, 57, 3.102682798233943
415, 341, 45, 3.134096228617176
535, 388, 40, 3.813426585662664
532, 388, 38, 3.98423234062942
507, 388, 21, 4.009018668086966
554, 507, 5, 4.307498120857419
637, 554, 13, 4.934536869925698
620, 535, 44, 5.127027711905103
617, 535, 50, 5.507795505256401
661, 637, 36, 5.667686234799476
677, 637, 43, 5.720305318599567
695, 637, 2, 5.908341669080234
660, 617, 50, 5.97334610662462
