node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.8310680274426074
64, 45, 1, 0.8707970765895567
51, 1, 49, 1.1705309985033834
87, 45, 2, 1.2319914317626297
103, 64, 20, 1.4403325163304963
135, 64, 39, 1.6468408844008742
152, 103, 20, 1.918471455418991
116, 64, 15, 1.9323013012557202
207, 116, 43, 1.9844065319447592
141, 64, 49, 2.0038720851869347
168, 116, 15, 2.0197915013443186
208, 103, 54, 2.085341863589737
246, 207, 57, 2.2277576596870308
184, 64, 25, 2.26085946986624
211, 207, 43, 2.30596604389113
244, 168, 24, 2.602991055844356
290, 207, 42, 2.6492955268456657
341, 211, 47, 2.8333271895528185
361, 341, 20, 3.110331493449442
388, 361, 57, 3.2814653194801053
317, 211, 13, 3.4019941584187414
398, 317, 13, 3.497321340718114
415, 341, 45, 3.5415901611477105
535, 388, 40, 4.244755007674272
532, 388, 38, 4.705053716531069
507, 388, 21, 4.780969254949006
554, 507, 5, 4.883512960385955
620, 535, 44, 5.283401223371328
617, 535, 50, 5.410331053420441
637, 554, 13, 5.470169406926108
660, 617, 50, 5.872448875148709
