node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.4210520407264675
64, 45, 1, 0.7983921766249266
51, 1, 49, 1.0430744245007455
87, 45, 2, 1.1278991065622401
116, 64, 15, 1.2183083762258544
168, 116, 15, 1.4531580475871062
103, 64, 20, 1.4570574809609218
207, 116, 43, 1.6420980781016101
135, 64, 39, 1.698378802859994
184, 64, 25, 1.8634469078892248
211, 207, 43, 1.9498397899077313
152, 103, 20, 1.9845840491995457
141, 64, 49, 1.994669431995282
208, 103, 54, 2.0584207682972653
246, 207, 57, 2.1089055476074288
244, 168, 24, 2.2333661295246485
290, 207, 42, 2.447158571159579
341, 211, 47, 2.560436470535405
361, 341, 20, 3.1386101607807935
415, 341, 45, 3.2012819595238358
388, 361, 57, 3.2563615992314743
317, 211, 13, 3.3176860596897533
398, 317, 13, 3.477357447884181
507, 388, 21, 4.151190208887819
532, 388, 38, 4.204771501214819
535, 388, 40, 4.3923437199297535
554, 507, 5, 4.515489498597194
620, 535, 44, 5.405182109236574
637, 554, 13, 5.48823938740996
617, 535, 50, 5.689312821729454
677, 637, 43, 5.841008107365164
751, 677, 58, 5.970836882779976
695, 637, 2, 6.082727411015414
