node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.4577721060516952
64, 45, 1, 0.864911617553673
51, 1, 49, 1.1051335363109327
103, 64, 20, 1.1187941706028335
116, 64, 15, 1.1987006977425831
87, 45, 2, 1.2716935979725874
168, 116, 15, 1.3926320182304632
152, 103, 20, 1.593448607477675
207, 116, 43, 1.6164686906422705
135, 64, 39, 1.711240638405639
184, 64, 25, 1.763037544466245
211, 207, 43, 1.9777338784457636
141, 64, 49, 2.0444276327304385
246, 207, 57, 2.128764925209097
290, 207, 42, 2.1877412234270293
244, 168, 24, 2.282435470609112
208, 103, 54, 2.3039010931788013
341, 211, 47, 2.5760461455352
361, 341, 20, 2.763319468608699
388, 361, 57, 3.212736832702948
317, 211, 13, 3.3421458178210006
415, 341, 45, 3.385095453515111
398, 317, 13, 3.4655051739957132
535, 388, 40, 4.229989213808921
507, 388, 21, 4.267667423561708
532, 388, 38, 4.370971625784407
554, 507, 5, 4.551214467812374
637, 554, 13, 5.490922763373382
620, 535, 44, 5.642693547840836
617, 535, 50, 5.716024142447075
677, 637, 43, 5.869129503475756
