node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.4438267901647655
64, 45, 1, 0.7865804377125952
51, 1, 49, 0.9325871396129309
116, 64, 15, 1.25890663026694
87, 45, 2, 1.280847501628528
168, 116, 15, 1.3724476104635988
103, 64, 20, 1.5223321640885548
135, 64, 39, 1.5373790574317883
207, 116, 43, 1.6547404564003256
141, 64, 49, 1.8345540917723062
184, 64, 25, 1.9109505251645298
244, 168, 24, 1.9304072751794272
211, 207, 43, 1.986304130289355
152, 103, 20, 2.0125377220253426
246, 207, 57, 2.172956699382293
208, 103, 54, 2.249849376067802
290, 207, 42, 2.5079206243797607
341, 211, 47, 2.5823995016854076
317, 211, 13, 3.1368837989427676
361, 341, 20, 3.144026046065732
398, 317, 13, 3.273054968086257
388, 361, 57, 3.319195696543068
415, 341, 45, 3.376077984894361
535, 388, 40, 4.194093240360367
507, 388, 21, 4.20327406775243
532, 388, 38, 4.2130909700717005
554, 507, 5, 4.565838123577052
637, 554, 13, 5.307771850680808
620, 535, 44, 5.4649698428387765
617, 535, 50, 5.504769479403781
677, 637, 43, 5.970629276831703
660, 617, 50, 5.994512247246608
661, 637, 36, 6.06947284458517
