node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.5022273723590093
64, 45, 1, 0.8343118176471571
51, 1, 49, 0.9732448344794065
87, 45, 2, 1.0272507461804483
103, 64, 20, 1.1400418147284457
116, 64, 15, 1.2442866110736281
168, 116, 15, 1.4414711678012617
152, 103, 20, 1.6512875972183647
207, 116, 43, 1.6829245570753093
135, 64, 39, 1.7837967826189587
141, 64, 49, 1.8572899362487847
211, 207, 43, 2.0334195341821224
341, 211, 47, 2.090074291570206
184, 64, 25, 2.109064640276834
208, 103, 54, 2.1239778310611412
246, 207, 57, 2.1784029987120763
290, 207, 42, 2.203107304095011
244, 168, 24, 2.422774219211927
361, 341, 20, 2.8711852110451566
388, 361, 57, 3.2579372285721315
317, 211, 13, 3.2856022396107387
398, 317, 13, 3.4220619662701406
415, 341, 45, 3.6026112352133457
535, 388, 40, 4.079656157090023
532, 388, 38, 4.458118116627302
507, 388, 21, 4.481170942865605
554, 507, 5, 4.729799105479811
637, 554, 13, 5.48344621631163
620, 535, 44, 5.66766706396431
617, 535, 50, 5.813051787289114
677, 637, 43, 5.914528387707896
695, 637, 2, 6.0166830344016295
