node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.514350298727472
64, 45, 1, 0.9560532360510295
184, 64, 25, 1.227063089081999
51, 1, 49, 1.2682480434516916
87, 45, 2, 1.4709515103422035
207, 116, 43, 1.6663503353120055
116, 64, 15, 1.6768222821240508
103, 64, 20, 1.7808961480289325
168, 116, 15, 1.8424224848554132
135, 64, 39, 2.0469884212691136
211, 207, 43, 2.0504477633211016
141, 64, 49, 2.1962709352033842
152, 103, 20, 2.2671834599692358
246, 207, 57, 2.4238331462155323
244, 168, 24, 2.4403559339268655
208, 103, 54, 2.477246152219431
290, 207, 42, 2.715992783916947
341, 211, 47, 3.031135213810292
361, 341, 20, 3.3955188757304415
317, 211, 13, 3.4939197561059703
388, 361, 57, 3.5231871142474316
415, 341, 45, 3.5376905881697316
398, 317, 13, 3.594287001932976
535, 388, 40, 4.046897495105513
507, 388, 21, 4.4076380700280895
532, 388, 38, 4.581699096180899
554, 507, 5, 4.753899353636894
620, 535, 44, 5.64037661940903
637, 554, 13, 5.6587174234560536
677, 637, 43, 5.91513566360912
617, 535, 50, 6.047140420358299
