node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.2768642506929566
64, 45, 1, 0.6711507744467617
51, 1, 49, 0.8473397436830001
87, 45, 2, 0.8506639715600911
103, 64, 20, 1.3126065146778998
116, 64, 15, 1.3674490760752345
207, 116, 43, 1.4379229347626528
135, 64, 39, 1.4547546600123957
168, 116, 15, 1.577887958318904
184, 64, 25, 1.7046133155418484
152, 103, 20, 1.782273264712011
211, 207, 43, 1.8480271446106251
141, 64, 49, 1.8580429096925102
290, 207, 42, 1.9309676866639296
208, 103, 54, 1.933299762485243
244, 168, 24, 2.059605832402061
246, 207, 57, 2.1902891321091063
341, 211, 47, 2.560670832819812
361, 341, 20, 2.923911193561428
415, 341, 45, 3.0239564883512977
317, 211, 13, 3.200478869014925
388, 361, 57, 3.2910896280649857
398, 317, 13, 3.3861344416635917
532, 388, 38, 3.964132591994454
507, 388, 21, 4.01529160210723
554, 507, 5, 4.1385205316773845
535, 388, 40, 4.285081632833265
620, 535, 44, 5.327319908915178
637, 554, 13, 5.362921351258099
677, 637, 43, 5.715291351840572
617, 535, 50, 5.726578931358896
695, 637, 2, 5.800422378414829
