node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.3814723919297218
51, 1, 49, 0.6611355110164525
64, 45, 1, 0.7228801970847701
87, 45, 2, 1.044796056720824
116, 64, 15, 1.165569040133097
103, 64, 20, 1.270101346269272
135, 64, 39, 1.2811002747771238
168, 116, 15, 1.376316673639787
207, 116, 43, 1.5558393313297016
141, 64, 49, 1.5921165120417076
184, 64, 25, 1.6420894782535886
244, 168, 24, 1.68053762298974
152, 103, 20, 1.7924886594469838
211, 207, 43, 1.8956073698262295
246, 207, 57, 1.9209322312768098
208, 103, 54, 2.039848859580115
290, 207, 42, 2.268567263139831
341, 211, 47, 2.5391726151203593
361, 341, 20, 2.9189236909169014
388, 361, 57, 3.0800197921231414
317, 211, 13, 3.089164269035538
415, 341, 45, 3.094918984029339
398, 317, 13, 3.2457561516188016
507, 388, 21, 3.9601305761030146
532, 388, 38, 3.9704070358260775
535, 388, 40, 4.181400114603216
554, 507, 5, 4.295909633485989
637, 554, 13, 5.298954291649711
620, 535, 44, 5.339258524243273
617, 535, 50, 5.514619056798667
677, 637, 43, 5.761848154956307
695, 637, 2, 5.8675012225023275
660, 617, 50, 5.938079853967409
745, 677, 24, 5.960351262689622
661, 637, 36, 6.038635996354261
