node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.30586427968575114
64, 45, 1, 0.3658676678844439
87, 45, 2, 0.7146407999824487
51, 1, 49, 0.9235074514510826
103, 64, 20, 1.029699037021468
135, 64, 39, 1.3362164234370966
116, 64, 15, 1.3581589546309094
207, 116, 43, 1.4415247164563452
152, 103, 20, 1.5782903040679501
168, 116, 15, 1.596749310956063
208, 103, 54, 1.635776803777668
246, 207, 57, 1.7066310123998867
211, 207, 43, 1.8037304266953633
141, 64, 49, 1.8167266726622662
184, 64, 25, 1.8367603299258133
290, 207, 42, 2.0403803202221718
244, 168, 24, 2.2589370244401126
341, 211, 47, 2.563183079236249
361, 341, 20, 2.70438128605539
388, 361, 57, 2.835838656583132
317, 211, 13, 2.899892228191241
398, 317, 13, 3.0326480081671354
415, 341, 45, 3.088214369348138
535, 388, 40, 3.986867562060352
507, 388, 21, 4.297087807965387
532, 388, 38, 4.360514543964426
554, 507, 5, 4.409176587242453
620, 535, 44, 4.981749255218122
637, 554, 13, 5.079566829963802
617, 535, 50, 5.285829009343879
695, 637, 2, 5.691579299060608
660, 617, 50, 5.719782155902079
677, 637, 43, 5.721693555576184
661, 637, 36, 5.972644609254234
