node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.7530960615689872
64, 45, 1, 0.7566550644195782
51, 1, 49, 1.199442369401717
103, 64, 20, 1.339012803749002
87, 45, 2, 1.4017578741861092
135, 64, 39, 1.5443237549039397
116, 64, 15, 1.604938769779844
168, 116, 15, 1.768303145963618
152, 103, 20, 1.8054391732681063
207, 116, 43, 1.9075466144144926
290, 207, 42, 2.02254692689719
184, 64, 25, 2.120988339149133
141, 64, 49, 2.1554102687907637
211, 207, 43, 2.2343718743560994
244, 168, 24, 2.302325437012479
208, 103, 54, 2.3154125451287233
246, 207, 57, 2.387794204196858
341, 211, 47, 2.6629176851364025
361, 341, 20, 2.991439618051716
317, 211, 13, 3.283795661889089
388, 361, 57, 3.4691937317114374
398, 317, 13, 3.4703505763182374
415, 341, 45, 3.5615061738118747
535, 388, 40, 4.406472758636604
532, 388, 38, 4.472975747765901
507, 388, 21, 4.479330415681443
554, 507, 5, 4.703514581599484
637, 554, 13, 5.4573442489160096
620, 535, 44, 5.48679347997333
617, 535, 50, 5.526905319004224
660, 617, 50, 5.973791541993678
