node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.22072841249257077
51, 1, 49, 0.540862817926871
64, 45, 1, 0.5978791486423967
87, 45, 2, 0.9194598974499921
116, 64, 15, 1.0478249482348994
168, 116, 15, 1.206570766373605
103, 64, 20, 1.3181382341776924
135, 64, 39, 1.331542909129337
207, 116, 43, 1.4344393446650785
141, 64, 49, 1.471409861003824
184, 64, 25, 1.4999078389927833
244, 168, 24, 1.728987929750858
211, 207, 43, 1.7709186050130468
152, 103, 20, 1.821035587402338
208, 103, 54, 1.9018791060596083
246, 207, 57, 1.9859749320250524
290, 207, 42, 2.141229650811046
341, 211, 47, 2.3588660491843148
415, 341, 45, 2.955722352156625
361, 341, 20, 2.964754204955642
317, 211, 13, 2.9675288680263576
388, 361, 57, 3.088077358363531
398, 317, 13, 3.1105177409335503
507, 388, 21, 3.83517837281374
532, 388, 38, 3.8508770656903426
535, 388, 40, 4.010338858159231
554, 507, 5, 4.176432243387659
637, 554, 13, 5.165901842336045
620, 535, 44, 5.21299917749675
617, 535, 50, 5.539727787211122
677, 637, 43, 5.6145841326869075
695, 637, 2, 5.746941210547371
661, 637, 36, 5.8827695389757855
660, 617, 50, 6.0007455999767725
745, 677, 24, 6.014071046627273
726, 677, 21, 6.099206483474603
