node, prevNode, creator, time
1, 0, 0, 0
51, 1, 49, 0.4842288155851481
45, 1, 43, 0.5747413081702796
64, 45, 1, 0.61962619842607
87, 45, 2, 1.2389065583943908
141, 64, 49, 1.3918898676037386
103, 64, 20, 1.4125324805950497
116, 64, 15, 1.4301667527616
168, 116, 15, 1.5822297342811107
135, 64, 39, 1.5965234988026509
207, 116, 43, 1.7411793262234816
184, 64, 25, 1.910550323058554
152, 103, 20, 1.9366555499398959
208, 103, 54, 2.046593889982847
211, 207, 43, 2.061651901329935
244, 168, 24, 2.112919078964174
246, 207, 57, 2.25250254289796
290, 207, 42, 2.4131635838857424
341, 211, 47, 2.4881070137363737
361, 341, 20, 3.0828034575122443
317, 211, 13, 3.1504383258450233
398, 317, 13, 3.285754465192838
388, 361, 57, 3.327807429189363
415, 341, 45, 3.3388274350776097
535, 388, 40, 4.16099871648769
532, 388, 38, 4.250139585771154
507, 388, 21, 4.291451394578822
554, 507, 5, 4.561970063661853
637, 554, 13, 5.254805222513144
620, 535, 44, 5.404506719472966
617, 535, 50, 5.647190721932879
677, 637, 43, 5.9411890048139835
