node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.4884764038834382
64, 45, 1, 0.5081814197374037
51, 1, 49, 0.6639582924710868
87, 45, 2, 0.9010646268382935
103, 64, 20, 1.1161368753779772
116, 64, 15, 1.4480280922952766
168, 116, 15, 1.5078749530925126
135, 64, 39, 1.5105431205152022
141, 64, 49, 1.5109644178461021
208, 103, 54, 1.5938084368229328
207, 116, 43, 1.6320438630680534
152, 103, 20, 1.6384725432765432
211, 207, 43, 1.9427653623169192
246, 207, 57, 1.9442955585944866
184, 64, 25, 1.9448380960720983
244, 168, 24, 2.234038864204489
290, 207, 42, 2.3157482930422923
341, 211, 47, 2.3229398282937064
361, 341, 20, 2.7803679878181518
317, 211, 13, 2.9428161402196786
415, 341, 45, 3.042698604404708
398, 317, 13, 3.0552660630346997
388, 361, 57, 3.075496396517204
535, 388, 40, 3.7498179833416825
532, 388, 38, 4.183417381251128
507, 388, 21, 4.374513793351294
554, 507, 5, 4.469188950825176
637, 554, 13, 5.1100167636781055
620, 535, 44, 5.122814524678651
617, 535, 50, 5.527194338857461
695, 637, 2, 5.789736206128599
677, 637, 43, 5.799608866549497
661, 637, 36, 5.827044723365704
660, 617, 50, 5.928609261307101
