node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.5445483701829477
64, 45, 1, 0.5807665966693125
87, 45, 2, 0.8185500564541577
51, 1, 49, 0.931995275852339
103, 64, 20, 1.3871871530332318
116, 64, 15, 1.4191039229104676
135, 64, 39, 1.5710654863210443
168, 116, 15, 1.6157300116172273
207, 116, 43, 1.7549883529649246
141, 64, 49, 1.8069340943642151
208, 103, 54, 1.84576555199299
152, 103, 20, 1.8744424875182146
184, 64, 25, 1.9392521726943044
211, 207, 43, 2.0612359878929913
246, 207, 57, 2.2017476596555627
244, 168, 24, 2.34086620306481
290, 207, 42, 2.4086472586395495
341, 211, 47, 2.5607929894108015
317, 211, 13, 2.876352328019965
398, 317, 13, 2.9262798090837374
415, 341, 45, 2.9948328143848415
361, 341, 20, 3.0198674365273677
388, 361, 57, 3.281608178676226
535, 388, 40, 4.027516561245195
532, 388, 38, 4.068608078540015
507, 388, 21, 4.356099910971426
554, 507, 5, 4.453169131268598
637, 554, 13, 4.982370138418383
620, 535, 44, 5.3832655537727465
617, 535, 50, 5.500271056975076
695, 637, 2, 5.768764386146669
677, 637, 43, 5.927424949350907
660, 617, 50, 5.9930246829895255
661, 637, 36, 6.075164153856241
