node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.19432154286482306
64, 45, 1, 0.2252589050235207
51, 1, 49, 0.5942868557939517
87, 45, 2, 0.8887989915937393
103, 64, 20, 1.0351321928283574
135, 64, 39, 1.177410819903024
116, 64, 15, 1.315916212988359
207, 116, 43, 1.3282066020040366
168, 116, 15, 1.4190954534197322
141, 64, 49, 1.5541322701783242
152, 103, 20, 1.5602674862915467
211, 207, 43, 1.6835738754762815
208, 103, 54, 1.7028999363757644
184, 64, 25, 1.7601253447739258
246, 207, 57, 1.8750271180986817
290, 207, 42, 2.0349907830286362
244, 168, 24, 2.153494495848363
341, 211, 47, 2.468044879007081
361, 341, 20, 2.701798062061347
317, 211, 13, 2.7535134311953797
398, 317, 13, 2.878345338783312
388, 361, 57, 2.8823731777490207
415, 341, 45, 3.141573262694159
535, 388, 40, 3.834194469845792
532, 388, 38, 4.260764384181766
507, 388, 21, 4.323398120986793
554, 507, 5, 4.485277314015917
637, 554, 13, 4.86796570501125
620, 535, 44, 4.978100119952701
617, 535, 50, 5.377837946631837
677, 637, 43, 5.556968856309073
661, 637, 36, 5.725025730399653
660, 617, 50, 5.801762986391565
695, 637, 2, 5.859694508527454
