node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.2992553094611
64, 45, 1, 0.7449505173622061
87, 45, 2, 0.884768404283643
51, 1, 49, 0.8892125870206232
103, 64, 20, 1.3750833585860016
116, 64, 15, 1.420138177821314
207, 116, 43, 1.4924504504745324
135, 64, 39, 1.6345918104108834
168, 116, 15, 1.6627258395350981
208, 103, 54, 1.6808954150630422
184, 64, 25, 1.7403891603267918
211, 207, 43, 1.866202934999523
141, 64, 49, 1.8702104861107371
152, 103, 20, 1.8979632587079744
246, 207, 57, 2.0559587324907405
244, 168, 24, 2.1082308078624266
290, 207, 42, 2.2485760082066086
341, 211, 47, 2.6982484981378825
415, 341, 45, 2.7567556767489854
361, 341, 20, 3.0432318716170226
317, 211, 13, 3.116791873214849
388, 361, 57, 3.1358667836144924
398, 317, 13, 3.1789867765438595
535, 388, 40, 4.092124955535463
507, 388, 21, 4.107304045017881
532, 388, 38, 4.204202348861652
554, 507, 5, 4.212719165340137
620, 535, 44, 5.218365414274844
637, 554, 13, 5.226614834093612
617, 535, 50, 5.628739650686115
677, 637, 43, 5.703482123480242
695, 637, 2, 5.815796017784931
660, 617, 50, 6.029940950224208
