node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.6697986467878646
64, 45, 1, 0.8246548471018558
51, 1, 49, 1.2056365863093483
87, 45, 2, 1.2459471544800755
103, 64, 20, 1.534001899074149
116, 64, 15, 1.7507426248867886
207, 116, 43, 1.7729078012997357
135, 64, 39, 1.7921210166498127
168, 116, 15, 2.000917058391577
152, 103, 20, 2.0181779719099686
184, 64, 25, 2.0866981503417232
208, 103, 54, 2.091355159217912
211, 207, 43, 2.159253382950969
141, 64, 49, 2.1674447680171163
246, 207, 57, 2.170094862542139
244, 168, 24, 2.5906030044191946
290, 207, 42, 2.6208045245858522
341, 211, 47, 3.0484796754535215
361, 341, 20, 3.1610564251526743
388, 361, 57, 3.270675935685966
317, 211, 13, 3.3949889237432327
398, 317, 13, 3.481540594337404
415, 341, 45, 3.5514281150632203
535, 388, 40, 4.475536568327482
507, 388, 21, 4.692096253986406
620, 535, 44, 4.753045852645754
532, 388, 38, 4.760042465693507
554, 507, 5, 4.8684053619836085
617, 535, 50, 5.411528524692633
637, 554, 13, 5.476870771327486
660, 617, 50, 5.861874526572243
677, 637, 43, 6.081043234425414
