node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.24902968558963884
64, 45, 1, 0.6940747856533658
51, 1, 49, 0.7115285527919245
87, 45, 2, 0.9855499363028528
116, 64, 15, 1.2023523917427674
103, 64, 20, 1.220143916226697
168, 116, 15, 1.4032058789002337
207, 116, 43, 1.461181198798229
135, 64, 39, 1.5048535501600488
184, 64, 25, 1.544087216197828
141, 64, 49, 1.6598591044772177
152, 103, 20, 1.6878487197161427
211, 207, 43, 1.8297701785320155
244, 168, 24, 1.895607888504693
208, 103, 54, 1.9534928892577124
246, 207, 57, 2.1168371961645907
290, 207, 42, 2.197268549038215
341, 211, 47, 2.5304648210139047
361, 341, 20, 2.858847033165342
415, 341, 45, 3.0008058977889656
388, 361, 57, 3.126262613285342
317, 211, 13, 3.1829060715306188
398, 317, 13, 3.3113188324595164
507, 388, 21, 3.8506759061347497
532, 388, 38, 4.035743393443613
535, 388, 40, 4.185358267380956
554, 507, 5, 4.199821703384601
620, 535, 44, 5.256248342883766
637, 554, 13, 5.3187850357161
617, 535, 50, 5.604056724829774
677, 637, 43, 5.657281097074082
695, 637, 2, 5.875172344511379
661, 637, 36, 6.035828762852675
