node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.31460452984850756
64, 45, 1, 0.3403211771256265
87, 45, 2, 0.5808470691049367
51, 1, 49, 0.7718394626444891
103, 64, 20, 1.053645905179966
135, 64, 39, 1.307377227593495
116, 64, 15, 1.3922859522518933
207, 116, 43, 1.4472357344440538
152, 103, 20, 1.5554463384495845
168, 116, 15, 1.5840561248387284
208, 103, 54, 1.638572199527041
141, 64, 49, 1.6876782751996342
246, 207, 57, 1.6959590603144985
184, 64, 25, 1.8082675924739062
211, 207, 43, 1.8116914505172925
290, 207, 42, 2.0377778712988213
244, 168, 24, 2.177125917014527
341, 211, 47, 2.423762435236909
361, 341, 20, 2.6775819450319998
388, 361, 57, 2.782848883112006
317, 211, 13, 2.9206601714239366
398, 317, 13, 2.9961267001749987
415, 341, 45, 3.028515489800038
535, 388, 40, 3.991742963140505
507, 388, 21, 4.166685207037934
554, 507, 5, 4.280343079545142
532, 388, 38, 4.3784989688420755
620, 535, 44, 4.897320125436521
637, 554, 13, 4.9833595719058295
617, 535, 50, 5.271203407176234
695, 637, 2, 5.539334954930677
660, 617, 50, 5.688752044947339
677, 637, 43, 5.735966374160588
661, 637, 36, 5.844978001013018
