node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.6419608273493255
64, 45, 1, 0.6823143798482111
51, 1, 49, 1.0211624499098761
87, 45, 2, 1.2196448286328112
103, 64, 20, 1.3296530159825897
135, 64, 39, 1.6033317517132102
116, 64, 15, 1.6603821610021203
207, 116, 43, 1.7710604231435378
168, 116, 15, 1.8495076944595774
152, 103, 20, 1.8541037463565628
208, 103, 54, 1.9058739253039239
141, 64, 49, 1.9969251090696074
246, 207, 57, 2.002868168566806
211, 207, 43, 2.11273549672733
184, 64, 25, 2.201394161395575
290, 207, 42, 2.5349190325373776
244, 168, 24, 2.553817548055005
341, 211, 47, 2.894658732367414
361, 341, 20, 3.0418982289321406
388, 361, 57, 3.0977782677512233
317, 211, 13, 3.1882955053409665
398, 317, 13, 3.3065225374052387
415, 341, 45, 3.3733809283643628
535, 388, 40, 4.2732504363805335
507, 388, 21, 4.57955618939611
532, 388, 38, 4.631277523706046
554, 507, 5, 4.8093968518672074
637, 554, 13, 5.299904380676278
617, 535, 50, 5.341457758349356
620, 535, 44, 5.421272970154999
660, 617, 50, 5.80263127792806
677, 637, 43, 5.989085925773226
695, 637, 2, 6.090467823509103
